scientificName,x,y
Pterois volitans,153.533333,-27.433333
Pterois volitans,-87.7065,18.7143
Pterois volitans,-80.6172,24.904583
Pterois volitans,-82.8141667,24.6252667
Pterois volitans,-67.74451017,10.49663122
Pterois volitans,153.028,-24.33533
Pterois volitans,151.7,-33.167
Pterois volitans,-67.0006,10.5978
Pterois volitans,-67.34233975,10.54421542
Pterois volitans,-82.8312,24.72261
Pterois volitans,159.083,-29.46333
Pterois volitans,-82.9315,24.66242
Pterois volitans,116.5275,-20.404165
Pterois volitans,129.655,28.427222
Pterois volitans,117.945835,-19.774165
Pterois volitans,117.87,-19.914165
Pterois volitans,-66.48170471,10.6302407
Pterois volitans,145.45399,-14.6454
Pterois volitans,117.780835,-19.99333
Pterois volitans,-66.84573144,10.62191027
Pterois volitans,-82.96346,24.6121
Pterois volitans,178.091,-18.3912
Pterois volitans,-80.1911,25.43735
Pterois volitans,-80.24461,25.15927
Pterois volitans,-64.62192535,10.29684785
Pterois volitans,-66.26175821,10.64936293
Pterois volitans,151.466667,-21.033333
Pterois volitans,29.5333004,-31.63330078
Pterois volitans,-67.25076914,10.55118208
Pterois volitans,-67.74386644,10.49736967
Pterois volitans,150,40
Pterois volitans,113.33361,-23.55139
Pterois volitans,-82.93499,24.65651
Pterois volitans,118.126665,-19.43667
Pterois volitans,-77.3328,18.4796
Pterois volitans,33.8879,27.2674
Pterois volitans,145.455,-14.6947
Pterois volitans,120.7445278,22.00441667
Pterois volitans,-80.5354,24.918167
Pterois volitans,117.065,-20.035
Pterois volitans,-80.5307,24.9025
Pterois volitans,72.9736,4.10201
Pterois volitans,-67.05755978,10.59292468
Pterois volitans,178.3855591,-18.13944435
Pterois volitans,119.504807,-8.58333
Pterois volitans,153.16666,-27.43333
Pterois volitans,-81.0695167,24.6667833
Pterois volitans,54.58300018,-20.96699905
Pterois volitans,117.29,-20.023335
Pterois volitans,72.5,11
Pterois volitans,-67.31323242,10.54182109
Pterois volitans,159.083,-31.55
Pterois volitans,-61.7977,12.017
Pterois volitans,-80.1781167,25.2706
Pterois volitans,-82.79657,24.72251
Pterois volitans,-177.8957,-29.2794
Pterois volitans,125.47533,-8.56325
Pterois volitans,-80.20115,25.22775
Pterois volitans,-81.594883,24.514033
Pterois volitans,147.083,-9.483
Pterois volitans,-82.86396,24.69712
Pterois volitans,-80.701617,24.782917
Pterois volitans,139.575835,-11.226805
Pterois volitans,-80.75353,24.76471
Pterois volitans,34.3139,27.8472
Pterois volitans,-82.96115,24.63445
Pterois volitans,-67.5,10.52966985
Pterois volitans,-80.73527,24.76515
Pterois volitans,97.83333588,1
Pterois volitans,-81.87274,24.47007
Pterois volitans,117.543335,-19.020835
Pterois volitans,131.759025,-10.61889
Pterois volitans,113.58333,-28.33333
Pterois volitans,-82.85909,24.71781
Pterois volitans,-74.24058,11.21917
Pterois volitans,-69.092,12.2276
Pterois volitans,-68.96929932,12.12230015
Pterois volitans,-80.0905,25.63919
Pterois volitans,73.0368,3.21529
Pterois volitans,-66.0837,18.4638
Pterois volitans,-66.88836,17.93626
Pterois volitans,-61.804,12.0185
Pterois volitans,-82.8564167,24.6399833
Pterois volitans,-66.71928406,11.7715785
Pterois volitans,120.1303,12.2089
Pterois volitans,-82.9668,24.63298
Pterois volitans,-83.10143,24.65384
Pterois volitans,-177.96,-29.29
Pterois volitans,-80.14037,25.35728
Pterois volitans,116.671665,-19.521665
Pterois volitans,-66.68357849,11.94864706
Pterois volitans,-81.234167,24.586117
Pterois volitans,130.033333,31.4
Pterois volitans,81.203176,8.508009
Pterois volitans,-66.08314991,10.58767929
Pterois volitans,-83.0578167,24.6798
Pterois volitans,-64.60523129,10.2967634
Pterois volitans,72.63,10.55
Pterois volitans,-81.6270833,24.5302833
Pterois volitans,-67.23859459,10.55227638
Pterois volitans,-66.60856,17.90404
Pterois volitans,-151.039916,-16.715257
Pterois volitans,-178.83,-31.35
Pterois volitans,-83.083333,27.483333
Pterois volitans,-64.94318962,10.15348542
Pterois volitans,128.4005556,27.05194444
Pterois volitans,145.6999969,-15.75
Pterois volitans,-67.66479492,11.97484475
Pterois volitans,178.3891602,-18.14416695
Pterois volitans,152.59031,-21.96437
Pterois volitans,-80.27409,25.14832
Pterois volitans,-64.75880384,10.29431439
Pterois volitans,134.2949982,7.047500134
Pterois volitans,-82.7746333,24.7087833
Pterois volitans,-64.75667953,10.26011067
Pterois volitans,-67.23879039,10.55298041
Pterois volitans,-80.34435,25.039467
Pterois volitans,124.251667,24.356667
Pterois volitans,136.59167,-10.558335
Pterois volitans,-83.0381333,24.6179833
Pterois volitans,32.776151,-27.277538
Pterois volitans,138.60222,-15.47639
Pterois volitans,-86.9239,16.1217
Pterois volitans,-66.89369202,11.79443251
Pterois volitans,-64.757967,10.29429328
Pterois volitans,-83.005,24.6573667
Pterois volitans,-81.332583,24.5589
Pterois volitans,153.033,-30.8
Pterois volitans,124.0016632,10.28583336
Pterois volitans,115.859165,-20.66833
Pterois volitans,34.6952,25.4176
Pterois volitans,-67.74410248,10.49658902
Pterois volitans,-80.0845,19.6831
Pterois volitans,132.5,-7.5
Pterois volitans,-83.01354,24.68603
Pterois volitans,34.8612,25.3111
Pterois volitans,-82.9333167,24.6638
Pterois volitans,116.0405,-19.77517
Pterois volitans,-64.7565937,10.29533833
Pterois volitans,-67.20092,18.2335
Pterois volitans,118.629,4.1209
